Uniqueid,Common_Name,Scientific_Name,Second_Common_Name,eBird_Code,Name_Code,Old_Code,Habitat_specialization,Migratory_Status,Foraging_pref_1,Foraging_pref_2,Diet_type_1,Diet_type_2
1,Indian Spot-billed Duck,Anas poecilorhyncha,,ISBD,ISBD,,Wetland,Resident,Aquatic,,Omnivorous,
2,Indian Peafowl,Pavo cristatus,,INPE,INPE,,Generalist,Resident,Ground,,Omnivorous,
3,Red Spurfowl,Galloperdix spadicea,,RESP,RESP,,Woodland,Resident,Understory,,Omnivorous,
4,Painted Spurfowl,Galloperdix lunulata,,PASP,PASP,,Woodland,Resident,Understory,,Omnivorous,
5,Rain Quail ,Coturnix coromandelica,,RAQU,RAQU,,Grassland,Resident,Ground,,Granivorous,
6,Jungle Bush-Quail,Perdicula asiatica,,JBQU,JBQU,,Generalist,Resident,Ground,,Granivorous,
7,Painted Francolin,Francolinus pictus,,PAFR,PAFR,,Grassland,Resident,Ground,,Omnivorous,
8,Grey Francolin,Francolinus pondicerianus,,GRFR,GRFR,,Grassland,Resident,Ground,,Omnivorous,
9,Red Junglefowl,Gallus gallus,,REJU,REJU,,Woodland,Resident,Understory,,Omnivorous,
10,Oriental Turtle-Dove,Streptopelia orientalis,,OTDO,OTDO,,Generalist,Resident,Ground,,Granivorous,
11,Eurasian Collared-Dove,Streptopelia decaocto,,ECDO,ECDO,,Generalist,Resident,Ground,,Granivorous,
12,Spotted Dove,Streptopelia chinensis,Red Turtle-Dove,SPDO,SPDO,,Generalist,Resident,Ground,,Granivorous,
13,Laughing Dove,Streptopelia senegalensis,Little Brown Dove,LADO,LADO,,Generalist,Resident,Ground,,Granivorous,
14,Yellow-footed Green-Pigeon,Treron phoenicopterus,,YFGP,YFGP,,Generalist,Resident,Arboreal,,Frugivorous,
15,Greater Coucal,Centropus sinensis,,GRCO,GRCO,,Generalist,Resident,Ground,Arboreal,Omnivorous,
16,Sirkeer Malkoha,Taccocua leschenaultii,,SIMA,SIMA,,Scrub,Resident,Ground,,Insectivorous,
17,Pied Cuckoo,Clamator jacobinus,Jacobin Cuckoo,PICU,PICU,,Generalist,Summer Migrant,Arboreal,,Insectivorous,
18,Asian Koel,Eudynamys scolopaceus,,ASKO,ASKO,,Generalist,Resident,Arboreal,,Frugivorous,
19,Banded Bay Cuckoo,Cacomantis sonneratii,,BBCU,BBCU,,Woodland,Resident,Arboreal,,Insectivorous,
20,Grey-bellied Cuckoo,Cacomantis passerinus,,GBCU,GBCU,,Woodland,Resident,Ground,,Insectivorous,
21,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,,FTDC,FTDC,,Woodland,Summer Migrant,Arboreal,,Insectivorous,
22,Common Hawk-Cuckoo,Hierococcyx varius,,CHCU,CHCU,,Woodland,Resident,Arboreal,,Insectivorous,
23,Indian Cuckoo,Cuculus micropterus,,INCU,INCU,,Woodland,Resident,Arboreal,,Insectivorous,
24,Common Cuckoo,Cuculus canorus,,COCU,COCU,,Generalist,Summer Migrant,Arboreal,,Insectivorous,
25,Jungle Nightjar,Caprimulgus indicus,Indian Jungle Nightjar,JUNI,JUNI,,Woodland,Resident, Aerial,,Insectivorous,
26,Indian Nightjar,Caprimulgus asiaticus,,INNI,INNI,,Generalist,Resident, Aerial,,Insectivorous,
27,Savanna Nightjar,Caprimulgus affinis,,SANI,SANI,,Grassland,Resident, Aerial,,Insectivorous,
28,Crested Treeswift,Hemiprocne coronata,,CRTR,CRTR,,Woodland,Resident, Aerial,,Insectivorous,
29,White-breasted Waterhen,Amaurornis phoenicurus,,WBWA,WBWA,,Generalist,Resident,Ground,,Omnivorous,
30,Indian Thick-knee,Burhinus indicus,Indian Stone-curlew,ITKN,ITKN,,Generalist,Resident,Ground,,Insectivorous,
31,Yellow-wattled Lapwing,Vanellus malabaricus,,YWLA,YWLA,,Grassland,Resident,Ground,,Insectivorous,
32,Red-wattled Lapwing,Vanellus indicus,,RWLA,RWLA,,Generalist,Resident,Ground,,Insectivorous,
33,Green Sandpiper,Tringa ochropus,,GESA,GESA,,Wetland,Winter Migrant,Aquatic,,Insectivorous,
34,Barred Buttonquail,Turnix suscitator,,BABU,BABU,,Generalist,Resident,Ground,,Granivorous,
35,Little Cormorant,Microcarbo niger,,LICO,LICO,,Wetland,Resident,Aquatic,,Piscivorous,
36,Cattle Egret,Bubulcus ibis,,CAEG,CAEG,,Wetland,Resident,Ground,,Insectivorous,
37,Indian Pond-Heron,Ardeola grayii,,IPHE,IPHE,,Generalist,Resident,Aquatic,,Carnivorous,
38,Red-naped Ibis,Pseudibis papillosa,Indian Black Ibis,RNIB,RNIB,,Generalist,Resident,Ground,,Carnivorous,
39,Black-winged Kite,Elanus caeruleus,Black-shouldered Kite,BWKI,BWKI,,Grassland,Resident,Ground,,Carnivorous,
40,Oriental Honey-buzzard,Pernis ptilorhynchus,Crested Honey Buzzard,OHBU,OHBU,,Woodland,Resident,Ground, Arboreal,Carnivorous,
41,Crested Serpent-Eagle,Spilornis cheela,,CSEA,CSEA,,Woodland,Resident,Ground, Arboreal,Carnivorous,
42,Short-toed Snake-Eagle,Circaetus gallicus,,STEA,STEA,,Generalist,Resident,Ground,,Carnivorous,
43,Changeable Hawk-Eagle,Nisaetus cirrhatus,,CHEA,CHEA,,Woodland,Resident,Ground, Arboreal,Carnivorous,
44,Bonelli's Eagle,Aquila fasciata,,BOEA,BOEA,,Woodland,Resident,Ground, Arboreal,Carnivorous,
45,White-eyed Buzzard,Butastur teesa,,WEBU,WEBU,,Generalist,Resident,Ground,,Carnivorous,
46,Shikra,Accipiter badius,,SHIK,SHIK,,Generalist,Resident,Ground, Arboreal,Carnivorous,
47,Barn Owl,Tyto alba,,BAOW,BAOW,,Generalist,Resident,Ground,,Carnivorous,
48,Indian Scops-Owl,Otus bakkamoena,Collared Scops-Owl,ISOW,ISOW,,Woodland,Resident,Ground, Aerial,Insectivorous,
49,Oriental Scops-Owl,Otus sunia,,OSOW,OSOW,,Woodland,Resident,Ground, Aerial,Insectivorous,
50,Rock Eagle-Owl,Bubo bengalensis,Indian Eagle-Owl,REOW,IEOW,,Generalist,Resident,Ground,,Carnivorous,
51,Jungle Owlet,Glaucidium radiatum,,JUOW,JUOW,,Woodland,Resident,Ground, Aerial,Insectivorous,
52,Spotted Owlet,Athene brama,,SPOW,SPOW,,Generalist,Resident,Ground, Aerial,Carnivorous,
53,Mottled Wood-Owl,Strix ocellata,,MWOW,MWOW,,Woodland,Resident,Ground,,Carnivorous,
54,Brown Hawk-Owl,Ninox scutulata,,BHOW,BHOW,,Woodland,Resident,Ground, Aerial,Insectivorous,
55,Eurasian Hoopoe,Upupa epops,,EUHO,EUHO,,"Grassland, Scrub",Resident,Ground,,Insectivorous,
56,Indian Grey Hornbill,Ocyceros birostris,,IGHO,IGHO,,Generalist,Resident,Arboreal,,Frugivorous,
57,Malabar Pied-Hornbill,Anthracoceros coronatus,,MPHO,MPHO,,Woodland,Resident,Arboreal,,Frugivorous,
58,Common Kingfisher,Alcedo atthis,Small Blue Kingfisher,COKI,COKI,,Wetland,Resident,Aquatic,,Piscivorous,
59,Stork-billed Kingfisher,Pelargopsis capensis,,SBKI,SBKI,,Wetland,Resident,Aquatic,,Piscivorous,
60,White-throated Kingfisher,Halcyon smyrnensis,,WTKI,WTKI,,Generalist,Resident,Ground,,Carnivorous,
61,Blue-bearded Bee-eater,Nyctyornis athertoni,,BBBE,BBBE,,Woodland,Resident,Aerial,,Insectivorous,
62,Green Bee-eater,Merops orientalis,,GBEA,GBEA,,Generalist,Resident,Aerial,,Insectivorous,
63,Indian Roller,Coracias benghalensis,,INRO,INRO,,Generalist,Resident,Ground,,Carnivorous,
64,Coppersmith Barbet,Psilopogon haemacephalus,,COBA,COBA,,Woodland,Resident,Arboreal,,Frugivorous,
65,Brown-headed Barbet,Psilopogon zeylanicus,,BHBA,BHBA,,Generalist,Resident,Arboreal,,Frugivorous,
66,Brown-capped Pygmy Woodpecker,Yungipicus nanus,Indian Pygmy Woodpecker,BCPW,BCPW,,Woodland,Resident,Arboreal,,Insectivorous,
67,Yellow-crowned Woodpecker,Leiopicus mahrattensis,,YCWO,YCWO,,Woodland,Resident,Arboreal,,Insectivorous,
68,White-naped Woodpecker,Chrysocolaptes festivus,,WNWO,WNWO,,Woodland,Resident,Arboreal,,Insectivorous,
69,Black-rumped Flameback,Dinopium benghalense,Lesser Goldenbacked Woodpecker,BRFL,BRFL,,Generalist,Resident,Arboreal,,Insectivorous,
70,Eurasian Kestrel,Falco tinnunculus,Common Kestrel,EUKE,EUKE,,Generalist,Winter Migrant,Ground,,Carnivorous,
71,Alexandrine Parakeet,Psittacula eupatria,,ALPA,ALPA,,Woodland,Resident,Arboreal,,Frugivorous,
72,Rose-ringed Parakeet,Psittacula krameri,,RRPA,RRPA,,Generalist,Resident,Arboreal,,Frugivorous,Granivorous
73,Plum-headed Parakeet,Psittacula cyanocephala,,PHPA,PHPA,,Woodland,Resident,Arboreal,,Frugivorous,Granivorous
74,Indian Pitta,Pitta brachyura,,INPI,INPI,,Woodland,Summer Migrant,Ground,,Insectivorous,
75,Small Minivet,Pericrocotus cinnamomeus,,SMMI,SMMI,,Woodland,Resident,Arboreal,,Insectivorous,
76,Scarlet Minivet,Pericrocotus speciosus,,SCMI,SCMI,,Woodland,Resident,Arboreal,,Insectivorous,
77,Large Cuckooshrike,Coracina macei,,LACU,LACU,,Woodland,Resident,Arboreal,Aerial,Insectivorous,
78,Indian Golden Oriole,Oriolus kundoo,,IGOR,IGOR,,Generalist,Resident,Arboreal,,Frugivorous,
79,Black-hooded Oriole,Oriolus xanthornus,,BHOR,BHOR,,Woodland,Resident,Arboreal,,Frugivorous,
80,Common Woodshrike,Tephrodornis pondicerianus,,COWO,COWO,,Woodland,Resident,Arboreal,,Insectivorous,
81,Common Iora,Aegithina tiphia,,COIO,COIO,,Woodland,Resident,Arboreal,,Insectivorous,
82,Spot-breasted Fantail,Rhipidura albogularis,White-spotted Fantail,SBFA,SBFA,,Woodland,Resident,Aerial,,Insectivorous,
83,White-browed Fantail,Rhipidura aureola,,WBFA,WBFA,,Woodland,Resident,Aerial,,Insectivorous,
84,Black Drongo,Dicrurus macrocercus,,BLDR,BLDR,,Generalist,Resident,Aerial, Ground,Insectivorous,
