Site_Code,Site_Name,Treatment,Height,Latititude,Longitude,Total_Trees,Total_Small_Trees,Total_Big_Trees,Total_Medium_Trees,Simpson_Index_All_Trees,Total_Tree_Sapling_Seedling,Lantana_Density,Lantana_Sapling,Treatment_numeric,Farms_3km,Forest_3km,Impervious_3km,TotalPop_3km
AM_1,Amjhar,Unrestored,3.859375,22.455007,80.518966,32,0,26,6,0.619140625,4,3,0,0,0.178347853,0.5418475,0.178347853,6427
AM_2,Amjhar,Unrestored,3.966666667,22.453615,80.522293,30,0,13,17,0.777777778,11,2,4,0,0.158799232,0.544625348,0.158799232,7157
AO_1,Aroli_Benchmark,No_Lantana,14.95833333,22.3886347,80.4421252,12,0,8,4,0.763888889,27,1,0,2,0.073744852,0.690538228,0.073744852,4111
AO_2,Aroli_Benchmark,No_Lantana,6.066666667,22.3809666,80.447149,33,3,14,16,0.786042241,45,1,0,2,0.084792372,0.781261998,0.084792372,3257
AO_FD_1,Aroli_FD_Removed,Restored,7.91875,22.3753815,80.4498101,32,1,23,8,0.62109375,3,1,0,1,0.083955731,0.813247921,0.083955731,2587
AO_FD_2,Aroli_FD_Removed,Restored,5.25,22.378155,80.443645,8,0,4,4,0.8125,9,2,2,1,0.100962553,0.767750093,0.100962553,2587
BH_FD_1,Bhagpur_FD_Removed,Restored,8.452830189,22.4138426,80.4954432,53,0,28,25,0.879316483,12,1,0,1,0.023790304,0.360175548,0.023790304,3112
BH_FD_2,Bhagpur_FD_Removed,Restored,8.14516129,22.4181002,80.4942519,31,1,24,6,0.867845994,6,3,1,1,0.030049288,0.343882544,0.030049288,2869
BH_FD_3,Bhagpur_FD_Removed,Restored,9.243589744,22.4210604,80.4969784,39,0,23,16,0.812623274,11,4,4,1,0.028691179,0.347708228,0.028691179,2941
BK_1,Bhanpur_Kheda,Unrestored,6.166666667,22.43144,80.66964,9,0,8,1,0.765432099,2,6,5,0,0.124736155,0.18546278,0.124736155,17363
BK_2,Bhanpur_Kheda,Unrestored,3.944444444,22.4295625,80.6734775,9,1,3,5,0.37037037,16,6,5,0,0.122722186,0.173015687,0.122722186,16367
BR_1,Barkheda,Unrestored,4.666666667,22.399552,80.779282,3,0,2,1,0.444444444,10,5,8,0,0.213152548,0.109872407,0.213152548,17779
BR_2,Barkheda,Unrestored,2.605263158,22.3963251,80.7772847,19,3,1,15,0.27700831,24,5,3,0,0.238014116,0.112691433,0.238014116,15492
BT_1,Batwar_Benchmark,No_Lantana,7.5,22.392653,80.508876,14,1,10,3,0.785714286,2,1,0,2,0.02179025,0.655239378,0.02179025,2802
BT_2,Batwar_Benchmark,No_Lantana,8.653846154,22.393334,80.503124,26,0,14,12,0.766272189,13,2,1,2,0.018253773,0.651076996,0.018253773,2608
BT_FD_1,Batwar_FD_Removed,Restored,10.26470588,22.3752407,80.4973603,17,1,13,3,0.816608997,14,1,0,1,0.018220267,0.872138104,0.018220267,1894
BT_FD_2,Batwar_FD_Removed,Restored,5.831707317,22.371959,80.498296,41,3,23,15,0.763831053,19,1,0,1,0.017587758,0.873664477,0.017587758,1476
CH_1,Chhichari,Restored,3.54379562,22.4169284,80.4231982,137,18,28,91,0.730140125,22,2,1,1,0.058233741,0.288934998,0.058233741,7006
CH_2,Chhichari,Restored,3.471428571,22.4182605,80.4223121,35,1,14,20,0.760816327,8,1,0,1,0.059637494,0.279556576,0.059637494,8480
DW_1,Dilwara,Unrestored,5.05,22.43423,80.63914,10,0,9,1,0.68,1,5,2,0,0.107517455,0.260689516,0.107517455,5182
DW_2,Dilwara,Unrestored,4.913043478,22.43166464,80.6363416,23,0,15,8,0.695652174,8,4,3,0,0.111965069,0.257933627,0.111965069,5106
DW_3,Dilwara,Unrestored,6.041666667,22.4361052,80.6331538,12,0,9,3,0.75,18,4,0,0,0.159524244,0.239603983,0.159524244,6140
DW_4,Dilwara,Unrestored,4.647058824,22.44897,80.63686,34,2,12,20,0.309688581,4,5,3,0,0.206603458,0.3579527,0.206603458,7526
JS_1,Jogi_Sondha,Unrestored,2.535714286,22.40208,80.709966,14,0,2,12,0,19,5,3,0,0.135659515,0.144588261,0.135659515,8303
JS_2,Jogi_Sondha,Unrestored,0,NA,NA,0,0,0,0,0,0,6,0,0,0.150521259,0.170072521,0.150521259,7764
KW_1,Kutwahi,No_Lantana,9.65625,22.3546043,80.4534847,32,4,17,11,0.8828125,22,1,0,2,0.142899731,0.650667749,0.142899731,5152
KW_2,Kutwahi,No_Lantana,11.36666667,22.350658,80.450857,15,0,14,1,0.711111111,26,1,0,2,0.192372249,0.532856895,0.192372249,6620
KW_3,Kutwahi,No_Lantana,7.632142857,22.351774,80.457845,28,0,15,13,0.739795918,20,1,0,2,0.1335037,0.661969416,0.1335037,4799
KW_4,Kutwahi,No_Lantana,6.783783784,22.3477203,80.4683425,37,1,26,10,0.80788897,21,1,0,2,0.102707904,0.721671149,0.102707904,5067
MAG_1,Magdha,Restored,6.5,NA,NA,11,0,8,3,0.545454545,8,3,2,1,0.216651726,0.495021416,0.216651726,7570
MAG_2,Magdha,Restored,6.820512821,22.444188,80.5462305,39,0,21,18,0.715318869,89,2,1,1,0.141128691,0.424688124,0.141128691,6954
MAG_3,Magdha,Restored,6.545454545,22.447836,80.548298,11,0,8,3,0.545454545,8,3,2,1,0.187743945,0.429433544,0.187743945,7205
MAG_4,Magdha,Restored,7.56,22.45083,80.55232,25,0,16,9,0.8224,13,1,0,1,0.244026273,0.411566508,0.244026273,8269
MAG_5,Magdha,Restored,7.56,NA,NA,25,0,16,9,0.8224,13,1,0,1,0.246719723,0.481454289,0.246719723,7152
MG_FD_1,Manegaon_FV,Restored,11.53333333,22.301349,80.480497,15,0,14,1,0.853333333,16,1,0,1,0.122801117,0.722041291,0.122801117,6300
MG_FD_2,Manegaon_FV,Restored,7.984615385,22.297597,80.482326,13,0,7,6,0.721893491,5,2,0,1,0.123228067,0.735729107,0.123228067,7461
MG_FD_3,Manegaon_FV,Restored,12.308,22.3015871,80.4863089,25,0,18,7,0.8448,36,2,1,1,0.126275954,0.709128176,0.126275954,6300
MH_1,Mohgaon,Restored,4.488372093,22.427738,80.609333,43,0,22,21,0.72796106,22,1,0,1,0.056812559,0.183629816,0.056812559,5113
MH_2,Mohgaon,Restored,7.011904762,22.42226,80.60265,42,1,23,18,0.463718821,5,2,4,1,0.041528576,0.150545277,0.041528576,4410
MH_3,Mohgaon,Restored,7.717391304,22.4273692,80.603039,23,0,15,8,0.763705104,6,4,19,1,0.063953843,0.132353463,0.063953843,4661
PT_1,Patpara,No_Lantana,8.182352941,22.27744,80.494761,17,0,11,6,0.62283737,4,1,0,2,0.164309618,0.641761605,0.164309618,8669
PT_2,Patpara,No_Lantana,7.645454545,22.280159,80.498002,11,0,6,5,0.776859504,31,1,0,2,0.145615689,0.679491451,0.145615689,6409
PT_3,Patpara,No_Lantana,6.91,22.27911,80.490074,6,0,5,1,0.5,0,1,0,2,0.1719144,0.632498793,0.1719144,8669
SB_1,Simaiya_Bhagpur,Unrestored,12.38888889,22.432886,80.5270869,9,0,8,1,0.740740741,7,5,2,0,0.042073258,0.387498786,0.042073258,4834
SB_2,Simaiya_Bhagpur,Unrestored,7.983333333,22.434697,80.521357,30,0,17,13,0.848888889,10,1,0,0,0.049277717,0.394971151,0.049277717,5763
SB_3,Simaiya_Bhagpur,Unrestored,6.961538462,22.432012,80.5190443,13,0,7,6,0.662721893,2,4,0,0,0.042566162,0.374621715,0.042566162,5098
TW_1,Taktauwa,Restored,4.840909091,22.4247219,80.6419786,22,0,18,4,0.570247934,17,2,3,1,0.060082585,0.299915233,0.060082585,5891
TW_2,Taktauwa,Restored,3.84375,22.422786,80.645209,16,0,15,1,0,0,2,2,1,0.053171369,0.306521814,0.053171369,4749
TW_3,Taktauwa,Restored,4.442857143,22.4234196,80.6499377,7,0,3,4,0.612244898,3,1,0,1,0.060138353,0.290715815,0.060138353,5847
TW_4,Taktauwa,Restored,4.84,NA,NA,22,0,18,4,0.570247934,17,2,3,1,0.02475677,0.394343809,0.02475677,3260
TW_5,Taktauwa,Restored,4.44,NA,NA,7,0,3,4,0.612244898,3,1,0,1,0.068607675,0.270126722,0.068607675,7172
UR_1,Urdali_Lantana,Unrestored,0,NA,NA,0,0,0,0,0,0,6,0,0,0.166077763,0.274101054,0.166077763,17737
UR_2,Urdali_Lantana,Unrestored,4.5,22.4413988,80.6622202,3,1,1,1,0.666666667,12,5,4,0,0.160498015,0.290000918,0.160498015,18114
URM_1,Urdali_Mal,Unrestored,5.455882353,22.4587978,80.6585003,34,0,11,23,0.74567474,7,5,5,0,0.230211111,0.402669338,0.230211111,14701
URM_2,Urdali_Mal,Unrestored,4.653846154,22.45687,80.66442,13,0,4,9,0.579881657,13,5,3,0,0.231478306,0.378542302,0.231478306,17601
